comment_id,comment_text,manual_label,manual_confidence,notes
55192,6:05 apaansii 😏,NOT_SPAM,,
58734,"wkaka dipikir semua orang kaum mendang mending kali ya yg beli mobil di iims,giias dan gjaw yang banyak duit suka langsung beli bukan nunggu akhir atau awal tahun discount gede",NOT_SPAM,,
65110,Alamak sotoynya 😹,NOT_SPAM,,
47757,Dessert tim merah jadi bumerang,NOT_SPAM,,
20020,Twitter.... hmmm..,NOT_SPAM,,
24651,ada,NOT_SPAM,,
72178,monaa,NOT_SPAM,,
45537,"Baru tau sekarang bahasa bali kayak 11,12 sama bahasa jawa, chef juna bilang. Pingin moleh kamu.. itu bahasa jawa juga",NOT_SPAM,,
3768,Gg,NOT_SPAM,,
6397,Mau coba sensasi gicir sadis? Tempat ini solusinya,NOT_SPAM,,
5343,Assa,NOT_SPAM,,
60944,Amazing 🎉✨,NOT_SPAM,,
35639,Coch justin kmna????,NOT_SPAM,,
6926,0:02,NOT_SPAM,,
4028,hatu SD nya kok beda,NOT_SPAM,,
7152,bang   aku   adede   kamu   ya  bang   tapi   nama   aku   bukan   tros  tapi  aku   saskreber,NOT_SPAM,,
3931,Aku sekolah SD 😊,NOT_SPAM,,
13676,Tandingan,NOT_SPAM,,
26968,Pik 2 bang,NOT_SPAM,,
5769,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,NOT_SPAM,,
57956,judol2,NOT_SPAM,,
43312,Sukses selalu diluar sana Jane🎉,NOT_SPAM,,
68185,Dimenit keberapa,NOT_SPAM,,
38544,"Emng yg dr bali bagus""...ya mau gmn..kl pun Krn suku..tp kan emang bgus...jd ya ga maslh.",NOT_SPAM,,
8301,AMg❤ 8:23,NOT_SPAM,,
3518,😮r3ynbf,NOT_SPAM,,
67414,Salam 4All❤❤,NOT_SPAM,,
30862,#copotpangkattituler,NOT_SPAM,,
6292,Fros   kasih    suara   yang   betul   dong   suaranya     mirip    suara   kucjng😅😅😅,NOT_SPAM,,
57870,"@LucLucyMe  ok bang lihat nanti aja,,, beda 4 level aja masih menang retri kog,, klo lu lihat KDA fredrin, harusnya kau juga lihat KDA hayabusa jgn lihat 1 match doang",NOT_SPAM,,
6432,好过分非常v,NOT_SPAM,,
39525,"Kalo peserta lain bakal ditanya, 60 menit cuma bikin gini doang 😂",NOT_SPAM,,
12950,sheesss..,NOT_SPAM,,
9266,"Pertama
🎉🎉",NOT_SPAM,,
65742,"Beli mobil listrik itu galaunya maksimal. Beli sekarang, eh satu bulan lagi ada yg sekelas tapi lebih bagus dan kadang harganya agak mahal dikit kadang malah lebih murah 😂",NOT_SPAM,,
2236,IUD 571767000,NOT_SPAM,,
2314,"Gokil! Jackpot 𝗞𝗢𝗜𝗦𝗟𝗢𝗧☘ 300k meledak, superwin makin jozz!",SPAM,,
19709,"Kayaknya ukuran videonya 2400 x 1080.
ukuran layar hp modern tahun 2000an, 2340 x 1080.

biasanya orang-orang masih pakai yang 16:9, 3840 x 2160, 2560 x 1440, 1920 x 1080

kalau computer os Microsoft, zaman Windows XP, Vista, 7, 8, 8.1, 10 itu Windows Defendernya sangat jlek, mudah dirtas oleh siapapun, ketika terhubung koneksi internet ke server orang lain maupun server layanan *terpercaya seperti Google family.

Windows 11 pakai sistem semua terhubung ke akun Microsoft, sudah log out tapi bisa auto login, gile banget ini, tidak ada lagi Privasi untuk usernya :(

tapi ada sistem Windows Defender selalu update untuk menghancurkan tracker² baru.

jadi pihak Microsoft tahu semua tentang isi dari user Windows 11 :(

Correct Me If I'm Wrong.",NOT_SPAM,,
58404,6:13,NOT_SPAM,,
64520,video selanjutnya sudah SPK dan resmi jadi milik om Fitra🤣,NOT_SPAM,,
32449,"Teman makan banget. Pulang kerja buka youtube, nonton ini sambil ngisi perut. Good Job bang.",NOT_SPAM,,
41321,janeeeee,NOT_SPAM,,
11352,pasti bg,NOT_SPAM,,
31992,Tergantung,NOT_SPAM,,
42128,9:20 TUH SI DANNY YG SUKA NGEJEK2 PESERTA LAIN AJA SMPEK MENGAKUI KONTRIBUSI JANE LO. malah si fajar gk voteee si JANE,NOT_SPAM,,
6177,Gepreeeek,NOT_SPAM,,
62428,WAW😅,NOT_SPAM,,
5029,Fodido❤🎉,NOT_SPAM,,
