comment_id,comment_text,comment_published_at,comment_updated_at,author_display_name,like_count,reply_count,channel_subscriber_count,channel_video_count,channel_view_count,channel_created_at,channel_description_length,video_comment_count,text_length,word_count,emoji_ratio,uppercase_ratio,special_char_ratio,repeat_char_ratio,unicode_weird_ratio,invisible_char_ratio,masked_keyword_ratio,stretched_word_ratio,slang_ratio,slang_distortion_ratio,any_obf,llm_label,llm_confidence,llm_reason,llm_source
55192,6:05 apaansii 😏,2025-04-20T07:29:22Z,2025-04-20T07:29:22Z,@sifahbulle884,0,0,2,3,101,2019-03-13T04:13:35Z,0,1783,15,3,0.05,0,0.1,0,0.05,0,0,0,0,0,FALSE,,,,
58734,"wkaka dipikir semua orang kaum mendang mending kali ya yg beli mobil di iims,giias dan gjaw yang banyak duit suka langsung beli bukan nunggu akhir atau awal tahun discount gede",2026-02-07T05:36:09Z,2026-02-07T05:36:33Z,@mrpickels98,1,0,5,0,0,2012-07-04T21:30:44Z,0,563,176,31,0,0,0.005681818,0,0,0,0.005681818,0,0.161290323,0,TRUE,,,,
65110,Alamak sotoynya 😹,2025-12-06T02:22:46Z,2025-12-06T02:22:46Z,@muhamadazkaputra7872,0,0,4,4,19,2021-07-29T02:37:12.838922Z,0,174,17,2,0.05,0.05,0.05,0,0.05,0,0,0,0,0,TRUE,,,,
47757,Dessert tim merah jadi bumerang,2025-04-22T04:03:42Z,2025-04-22T04:03:52Z,@zainudinalvar5526,0,0,2,0,0,2020-10-26T03:48:05.453852Z,0,1595,31,5,0,0.032258065,0,0,0,0,0,0,0,0,TRUE,,,,
20020,Twitter.... hmmm..,2025-04-19T09:53:41Z,2025-04-19T09:53:41Z,@yaafi4479,0,0,3,0,0,2021-09-10T13:35:04.48565Z,0,2080,18,2,0,0.05,0.3,0.1,0,0,0,0.05,0,0,FALSE,,,,
24651,ada,2025-03-31T09:59:44Z,2025-03-31T09:59:44Z,@onlyahuman-u3k,0,0,171,220,87452,2013-04-04T09:54:23Z,0,5272,3,1,0,0,0,0,0,0,0,0,0,0,FALSE,,,,
72178,monaa,2026-01-29T11:40:56Z,2026-01-29T11:40:56Z,@pikaacu-q2x,0,0,1,0,0,2021-07-27T05:02:14.760753Z,0,132,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,,,,
45537,"Baru tau sekarang bahasa bali kayak 11,12 sama bahasa jawa, chef juna bilang. Pingin moleh kamu.. itu bahasa jawa juga",2025-04-23T02:19:53Z,2025-04-23T02:19:53Z,@niamocin905,0,0,3,1,2277,2017-09-24T01:55:23Z,0,1620,118,21,0,0.016949153,0.042372881,0,0,0,0,0,0.047619048,0,TRUE,,,,
3768,Gg,2025-04-23T05:52:47Z,2025-04-23T05:52:47Z,@DitoFerlino-s6b,0,0,3,5,30,2024-10-22T11:27:38.619536Z,0,741,2,1,0,0.05,0,0,0,0,0,0,0,0,FALSE,,,,
6397,Mau coba sensasi gicir sadis? Tempat ini solusinya,2025-04-19T12:58:18Z,2025-04-19T12:58:18Z,@sportclubPutraUtami,0,0,0,0,0,2025-04-18T20:05:12.781062Z,0,817,50,8,0,0.04,0.02,0,0,0,0,0,0,0,TRUE,,,,
5343,Assa,2025-04-20T03:10:55Z,2025-04-20T03:10:55Z,@CutNayla-t2v,0,0,2,1,28,2024-06-30T08:57:28.386114Z,0,829,4,1,0,0.05,0,0,0,0,0,0,0,0,FALSE,,,,
60944,Amazing 🎉✨,2026-01-08T23:07:00Z,2026-01-08T23:07:00Z,@BONTOT17OFFICIAL,1,0,356,10,177107,2022-01-25T12:57:16.972941Z,0,1193,10,1,0.05,0.05,0.1,0,0.1,0,0,0,0,0,FALSE,,,,
35639,Coch justin kmna????,2025-04-13T19:02:35Z,2025-04-13T19:02:35Z,@azisromadhon670,0,0,0,0,0,2018-10-19T09:31:13Z,0,200,20,3,0,0.05,0.2,0.05,0,0,0,0.05,0.333333333,0,TRUE,,,,
6926,0:02,2025-04-16T13:41:52Z,2025-04-16T13:41:52Z,@frost-altaf,0,0,17,57,9028,2025-04-02T21:10:33.321899Z,172,305,4,2,0,0,0.05,0,0,0,0,0,0,0,FALSE,,,,
4028,hatu SD nya kok beda,2025-04-22T04:59:26Z,2025-04-22T04:59:26Z,@ZidanZavier2215,0,0,2,0,0,2025-03-01T01:17:19.475435Z,0,741,20,5,0,0.1,0,0,0,0,0,0,0,0,TRUE,,,,
7152,bang   aku   adede   kamu   ya  bang   tapi   nama   aku   bukan   tros  tapi  aku   saskreber,2025-05-03T07:27:23Z,2025-05-03T07:27:23Z,@Stefanny-qr7dq,0,0,0,1,1,2023-06-14T23:23:59.135453Z,0,524,94,14,0,0,0,0.106382979,0,0,0,0,0.142857143,0,FALSE,,,,
3931,Aku sekolah SD 😊,2025-04-22T07:15:39Z,2025-04-22T07:15:39Z,@ZuraaAtthalia,0,0,11,1,110,2024-05-19T03:46:15.091966Z,0,741,16,3,0.05,0.15,0.05,0,0.05,0,0,0,0,0,TRUE,,,,
13676,Tandingan,2025-04-22T06:45:27Z,2025-04-22T06:45:27Z,@gandhisatyapenggalih6840,0,0,3,2,21,2019-03-01T11:08:48Z,0,9212,9,1,0,0.05,0,0,0,0,0,0,0,0,FALSE,,,,
26968,Pik 2 bang,2025-01-29T06:15:23Z,2025-01-29T06:15:23Z,@Anas27-r6e,0,0,0,0,0,2025-01-29T06:14:01.686964Z,0,3531,10,3,0,0.05,0,0,0,0,0,0,0,0,FALSE,,,,
5769,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,2025-09-23T05:47:20Z,2025-09-23T05:47:20Z,@ibudansyahira4564,0,0,1,2,11,2019-10-15T10:32:05.968432Z,0,817,50,0,0.02,0,1,0.02,1,0,0,0.02,0,0,FALSE,,,,
57956,judol2,2025-01-06T17:08:01Z,2025-01-06T17:08:01Z,@IfinixBos,0,0,0,0,0,2023-05-14T00:47:04.831924Z,0,104,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,,,,
43312,Sukses selalu diluar sana Jane🎉,2025-04-22T04:05:55Z,2025-04-22T04:05:55Z,@RomlyDuko-jl3hw,1,0,0,0,0,2023-11-02T23:54:37.335782Z,0,3503,31,5,0.032258065,0.064516129,0.032258065,0,0.032258065,0,0,0,0,0,TRUE,,,,
68185,Dimenit keberapa,2026-02-08T04:03:24Z,2026-02-08T04:03:24Z,@muhammadawardiansyah7064,0,0,2,1,108,2012-03-16T03:52:35Z,0,129,16,2,0,0.05,0,0,0,0,0,0,0,0,TRUE,,,,
38544,"Emng yg dr bali bagus""...ya mau gmn..kl pun Krn suku..tp kan emang bgus...jd ya ga maslh.",2025-04-25T02:58:57Z,2025-04-25T02:58:57Z,@intankurnia5255,0,0,0,3,69,2020-04-28T12:52:09.667771Z,0,1425,89,20,0,0.02247191,0.134831461,0.02247191,0,0,0.033707865,0,0.55,0,TRUE,,,,
8301,AMg❤ 8:23,2025-12-13T00:15:20Z,2025-12-13T00:15:20Z,@NenyNuraini-b4n,0,0,0,0,0,2025-09-20T02:32:49.668676Z,0,740,9,3,0,0.1,0.1,0,0.05,0,0,0,0,0,FALSE,,,,
3518,😮r3ynbf,2025-10-19T04:45:28Z,2025-10-19T04:45:28Z,@andrimorgana1762,0,0,1,5,48,2020-11-16T22:19:55.081729Z,0,741,7,1,0.05,0,0.05,0,0.05,0,0,0,0,0,FALSE,,,,
67414,Salam 4All❤❤,2025-08-06T02:58:05Z,2025-08-06T02:58:05Z,@SPORTFISHING123,0,0,1190,494,361145,2024-01-18T13:39:24.959611Z,27,807,12,2,0,0.1,0.1,0,0.1,0,0,0,0,0,FALSE,,,,
30862,#copotpangkattituler,2025-01-24T15:51:49Z,2025-01-24T15:51:49Z,@Felix_PH,0,0,2310,183,456707,2018-10-08T07:23:05Z,129,3085,20,1,0,0,0.05,0,0,0,0,0,0,0,FALSE,,,,
6292,Fros   kasih    suara   yang   betul   dong   suaranya     mirip    suara   kucjng😅😅😅,2025-04-19T03:27:18Z,2025-04-19T03:27:18Z,@paramandana_music,0,0,74,95,50963,2019-01-29T15:59:59Z,73,817,85,10,0.011764706,0.011764706,0.035294118,0.117647059,0.035294118,0,0,0.035294118,0,0,FALSE,,,,
57870,"@LucLucyMe  ok bang lihat nanti aja,,, beda 4 level aja masih menang retri kog,, klo lu lihat KDA fredrin, harusnya kau juga lihat KDA hayabusa jgn lihat 1 match doang",2025-01-07T18:57:42Z,2025-01-07T18:57:42Z,@mikoryandoko2511,1,0,5,3,445,2018-02-14T18:05:04Z,0,76,167,30,0,0.053892216,0.041916168,0.005988024,0,0,0,0,0.266666667,0,TRUE,,,,
6432,好过分非常v,2025-07-09T06:47:47Z,2025-07-09T06:47:47Z,@hasbiabrisam,0,0,0,0,0,2023-01-12T00:26:46.869153Z,0,817,6,1,0,0,0.25,0,0.25,0,0,0,0,0,FALSE,,,,
39525,"Kalo peserta lain bakal ditanya, 60 menit cuma bikin gini doang 😂",2025-04-23T01:31:28Z,2025-04-23T01:31:28Z,@hestiwijayanti4490,2,0,0,0,0,2012-10-14T04:17:27Z,0,848,65,11,0.015384615,0.015384615,0.030769231,0,0.015384615,0,0,0,0.181818182,0,TRUE,,,,
12950,sheesss..,2025-04-22T12:44:54Z,2025-04-22T12:44:54Z,@gojo6991,1,0,9,18,146,2022-02-02T08:24:17.021601Z,1,9212,9,1,0,0,0.1,0.05,0,0,0,0,0,0,FALSE,,,,
9266,"Pertama
🎉🎉",2025-04-04T04:46:05Z,2025-04-04T04:46:05Z,@Iyan-t3s,0,0,3,0,0,2023-05-25T15:44:24.063346Z,0,984,10,1,0.05,0.05,0.1,0,0.1,0.05,0,0,0,0,FALSE,,,,
65742,"Beli mobil listrik itu galaunya maksimal. Beli sekarang, eh satu bulan lagi ada yg sekelas tapi lebih bagus dan kadang harganya agak mahal dikit kadang malah lebih murah 😂",2025-11-30T05:34:03Z,2025-11-30T05:34:03Z,@sigitsatrio,0,0,6,14,15038,2008-08-26T13:15:37Z,0,415,171,28,0.005847953,0.011695906,0.01754386,0,0.005847953,0,0,0,0.071428571,0,TRUE,,,,
2236,IUD 571767000,2025-03-15T17:32:21Z,2025-03-15T17:32:21Z,@sdg007-z7r,0,0,0,0,0,2024-11-26T12:14:14.990394Z,0,93,13,2,0,0.15,0,0.05,0,0,0,0,0,0,FALSE,,,,
